fid,stara nazwa,stary adres,nowy adres,nowa nazwa,x,y
84,obóz Harcerski pod namiotami Hufiec ZHP Koło,"64-210 Choczewo, Kopalino 116, Nadleśnictwo Choczewo, Leśnictwo Kopalino",BRAK,BRAK,54.788559,17.848758
85,Ośrodek Obozowo - biwakowy hufca ZHP Ruda Śląska w Kuźnicy," 98-331, Kuźnica, Nowa Brzeźnica, przy drodze numer 492",BRAK,BRAK,51.024487,19.107007
86,"Harcerskie Centrum Integracji Dzieci i Młodzieży Baza Kolonijno-Obozowa ""SKAUT"" w Orkuszu","82-550 Prabuty, Orkusz (nie ma numeru), Leśnictwo Gonty",BRAK,BRAK,53.797602,19.125431
87,Harcerska Baza Obozowa w Rajcu Poduchownym,"26-613, Rajec Poduchowny, brak ulicy i numeru,leśnictwo Rajec",BRAK,BRAK,51.435363,21.236439
88,Harcerska Baza Obozowa w Łazach,"76-002, Łazy, Wierzbowa",BRAK,BRAK,54.24944,16.01059
89,Harcerska baza obozowa Wicie ,76-150 Darłowo  Wicie ul. Wczasowa 4  Leśnictwo Sławno,BRAK,BRAK,54.504314,16.466014
90,Baza harcerska Hufca Łódź-Bałuty w Przewozie,"77-143 Przewóz, Baza Harcerska Hufca Łódź-Bałuty ""Promienistych"" w Przewozie, leśnictwo Lubaszki",BRAK,BRAK,54.076486,17.558165
91,"Stanica Harcerska ""Zielona Polana"" Hufiec ZHP Ostrów Wlkp",63-400 Ostrów Wielkopolski ul. Siwego Sokoła 1 leśnictwo Taczanów ,BRAK,BRAK,51.673589,17.811228
92,HBO Winiec,Harcerska Baza Obozowa Winiec 14-140 Miłomłyn,BRAK,BRAK,53.801623,19.841420
93,"HCEEiZR ""Leśna Stacja""  (dawniej HBO Leśna Huta)","83-262 Czarna Woda, Leśna Huta 4, Leśnictwo Czarna Woda",BRAK,BRAK,53.885510,18.097447
94,Harcerski Ośrodek Szkoleniowo - Wypoczynkowy Hufca ZHP Tuchola w Białej,"89-504 Legbąd, Biała 20, Leśnictwo Zielonka - Nadleśnictwo Woziwoda",BRAK,BRAK,53.679096,17.972605
95,Majdańska Polana,"22-671 Majdan Sopocki Drugi, Majdańska Polana, Leśnictwo Kalina",BRAK,BRAK,50.463354,23.173228
